细胞	Cell
脂肪酸氧化高通量	Fatty Acid Oxidation High-throughput
转化高强度	Transformation High-strength
RNA高油	RNA High-oil
耐碱淋巴	Alkali-tolerant Lymph
多态性致密	Polymorphism Dense
早熟限制性内切酶	Early-maturing Restriction Endonuclease
辅因子耐盐	Cofactor Salt-tolerant
生态适应	Ecological Adaptation
抗旱脾脏	Drought-resistant Spleen
尿素循环生态	Urea Cycle Ecological
耐酸糖酵解	Acid-tolerant Glycolysis
高通量葡萄糖	High-throughput Glucose
层状线粒体	Layered Mitochondria
超细辅因子	Ultrafine Cofactor
消化系统耐高温	Digestive System High-temperature-resistant
甲基化酶多孔	Methyltransferase Porous
载体速生	Vector Fast-growing
表型耐酸	Phenotype Acid-tolerant
激酶速生	Kinase Fast-growing
骨骼系统高选择性	Skeletal System Highly-selective
高产细胞膜	High-yield Cell Membrane
耐疲劳电子传递链	Fatigue-resistant Electron Transport Chain

